Player,Team,Pos,Age,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS
JJ Bleday,ATH,OF,28,98,307,48,65,17,0,14,39,1,2,36,91,0,1,0,.212,.294,.404,.698
Dane Myers,MIA,OF,30,106,307,29,72,10,0,6,31,18,5,23,77,0,1,2,.235,.291,.326,.617
Michael Toglia,COL,1B,27,88,306,22,58,15,1,11,32,3,0,28,132,0,2,1,.190,.258,.353,.611
Jose Iglesias,SD,2B,36,112,306,29,70,11,0,3,36,5,1,24,56,4,2,7,.229,.298,.294,.592
Jesus Sanchez,MIA,OF,28,86,305,40,78,12,4,10,36,9,2,29,70,0,2,1,.256,.320,.420,.740
Kyle Higashioka,TEX,C,35,94,303,33,73,14,1,11,47,3,1,20,72,0,2,2,.241,.291,.403,.694
Willi Castro,MIN,OF,28,86,302,48,74,15,2,10,27,9,3,32,84,1,0,9,.245,.335,.407,.742
Santiago Espinal,CIN,3B,31,114,301,25,73,12,0,0,16,2,1,21,38,3,2,1,.243,.292,.282,.574
Brooks Baldwin,CWS,OF,25,103,300,32,72,15,1,11,38,5,0,21,86,4,2,1,.240,.290,.407,.697
Tyler Stephenson,CIN,C,29,88,299,40,69,18,0,13,50,0,1,37,116,0,4,2,.231,.316,.421,.737
Trey Sweeney,DET,SS,25,118,296,36,58,6,2,6,32,3,1,26,92,0,4,0,.196,.258,.291,.549
Michael Taylor,CWS,OF,34,134,295,33,59,20,1,9,35,8,3,23,110,4,2,1,.200,.259,.366,.625
Starling Marte,NYM,OF,37,98,293,37,79,14,0,9,34,7,2,22,68,1,4,9,.270,.335,.410,.745
Dylan Crews,WSH,OF,24,85,293,43,61,8,2,10,27,17,5,24,76,0,0,5,.208,.280,.352,.632
Sean Murphy,ATL,C,31,94,291,34,58,13,0,16,45,0,0,35,105,0,3,8,.199,.300,.409,.709
Miguel Rojas,LAD,SS,37,114,290,35,76,18,0,7,27,5,0,24,46,3,0,0,.262,.318,.397,.715
Luis Urias,ATH,2B,28,96,287,27,66,7,0,8,25,2,1,31,45,0,3,6,.230,.315,.338,.653
Joey Bart,PIT,C,29,93,285,21,71,12,1,4,30,1,1,40,93,0,0,7,.249,.355,.340,.695
Taylor Walls,TB,SS,29,101,282,36,62,14,1,4,38,14,6,26,70,3,6,0,.220,.280,.319,.599
Jose Trevino,CIN,C,33,94,282,30,67,20,0,4,22,0,0,15,39,1,4,0,.238,.272,.351,.623
Rhys Hoskins,MIL,1B,33,90,279,30,66,12,1,12,43,2,1,38,91,0,6,5,.237,.332,.416,.748
Jorge Soler,LAA,OF,34,82,279,31,60,12,0,12,34,0,0,28,94,0,3,4,.215,.293,.387,.680
Christopher Morel,TB,OF,26,105,278,37,61,16,0,11,33,7,2,25,109,0,0,2,.219,.289,.396,.685
Gabriel Moreno,ARI,C,26,83,277,44,79,12,1,9,40,2,2,29,53,0,2,1,.285,.353,.433,.786
Kyle Farmer,COL,2B,35,97,277,24,63,14,0,8,31,0,1,17,66,0,2,4,.227,.280,.365,.645
Ben Williamson,SEA,3B,25,85,277,36,70,13,0,1,21,5,1,15,64,2,0,1,.253,.294,.310,.604
Thomas Saggese,STL,2B,23,82,275,25,71,17,0,2,25,3,0,16,83,1,2,1,.258,.299,.342,.641
Rafael Devers,BOS,1B,29,73,272,47,74,18,0,15,58,1,1,56,76,0,2,4,.272,.401,.504,.905
Harrison Bader,MIN,OF,31,96,271,31,70,13,0,12,38,10,4,27,81,0,2,7,.258,.339,.439,.778
Myles Straw,TOR,OF,31,137,267,51,70,14,1,4,32,12,1,19,50,11,1,1,.262,.313,.367,.680
Joc Pederson,TEX,DH,33,96,265,28,48,10,1,9,26,2,0,34,65,0,1,5,.181,.285,.328,.613
Riley Adams,WSH,C,29,83,263,29,49,8,0,8,24,1,0,18,110,0,0,5,.186,.252,.308,.560
Coby Mayo,BAL,1B,24,85,263,30,57,12,0,11,28,3,0,27,84,0,0,4,.217,.299,.388,.687
Michael Massey,KC,2B,27,77,262,20,64,9,0,3,20,2,1,9,43,1,4,1,.244,.268,.313,.581
Luis Torrens,NYM,C,29,93,261,20,59,14,1,5,29,1,0,19,56,1,0,2,.226,.284,.345,.629
Brady House,WSH,3B,22,73,261,26,61,11,0,4,29,5,3,8,78,0,5,0,.234,.252,.322,.574
Ramon Laureano,BAL,OF,31,82,259,45,75,17,0,15,46,4,3,22,72,0,3,6,.290,.355,.529,.884
Abraham Toro,BOS,1B,29,77,259,33,62,13,0,7,27,2,1,14,42,0,5,6,.239,.289,.371,.660
Ramon Urias,BAL,3B,31,77,258,27,64,12,0,8,34,2,0,21,60,0,9,2,.248,.300,.388,.688
